,t,p,v,q,pwm,fa,hover_throttle,T_sp
30,1758984371.3841188,"[0.00015999015073647253, 1.9334486449895617e-16, 0.911632421118377]","[2.9328955789573925e-15, 4.488575020137918e-16, -2.0684433816341068e-15]","[1.0, 4.46198355781969e-18, 2.650053165907678e-16, -1.4120557662728173e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.97121113563028e-15, 1.9815695445663902e-16, -52.11898076898158]",0.5,[28.014357968981578]
31,1758984371.3892133,"[0.00015999015073648733, 1.9558737712289367e-16, 0.911632421118377]","[2.9578860179274423e-15, 4.485025247874993e-16, -2.0684433816341068e-15]","[1.0, 5.722493634259607e-18, 2.6099465353500683e-16, -1.4030064441014671e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.033270825988811e-15, 2.2698240465274644e-16, -52.11898076898158]",0.5,[28.014357968981578]
32,1758984371.3943355,"[0.00015999015073650224, 1.978268847672959e-16, 0.911632421118377]","[2.9837085082276437e-15, 4.479015288804457e-16, -2.0684433816341068e-15]","[1.0, 6.987259671433366e-18, 2.5707288739552053e-16, -1.3939571219287324e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.8829790724026122e-15, 2.2967949614364933e-16, -52.11898076898158]",0.5,[28.014357968981578]
33,1758984371.3994322,"[0.00015999015073651728, 2.0006321190844485e-16, 0.911632421118377]","[3.007956250109291e-15, 4.472654282297918e-16, -2.0684433816341068e-15]","[1.0, 8.246721398480672e-18, 2.530366889159414e-16, -1.3849077997546817e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.9460751993810885e-15, 2.495067386510907e-16, -52.11898076898158]",0.5,[28.014357968981578]
34,1758984371.404566,"[0.00015999015073653243, 2.0229520927792066e-16, 0.911632421118377]","[3.0321306036793456e-15, 4.463994738951608e-16, -2.0684433816341068e-15]","[1.0, 9.512302624407267e-18, 2.48968646280078e-16, -1.3758584775793803e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.9481034029620082e-15, 2.4969591402964886e-16, -52.11898076898158]",0.5,[28.014357968981578]
35,1758984371.4096904,"[0.00015999015073654772, 2.0452199729447418e-16, 0.911632421118377]","[3.056054348883308e-15, 4.45357603310704e-16, -2.0684433816341068e-15]","[1.0, 1.078955988960553e-17, 2.4487895953827753e-16, -1.36680915540289e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.9029688315223647e-15, 2.4548736113569135e-16, -52.11898076898158]",0.5,[28.014357968981578]
36,1758984371.414767,"[0.00015999015073656312, 2.0674304314772864e-16, 0.911632421118377]","[3.0790098376146806e-15, 4.44209170650892e-16, -2.0684433816341068e-15]","[1.0, 1.2076473582412086e-17, 2.4068462979992456e-16, -1.3577598332252698e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.913926797639758e-15, 2.486387368539676e-16, -52.11898076898158]",0.5,[28.014357968981578]
37,1758984371.4198816,"[0.00015999015073657862, 2.0895780981270334e-16, 0.911632421118377]","[3.1021010389087698e-15, 4.429533329949416e-16, -2.0684433816341068e-15]","[1.0, 1.3371016000998356e-17, 2.3646143294947223e-16, -1.3487105110465755e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.8431863085363228e-15, 2.5972728698128814e-16, -52.11898076898158]",0.5,[28.014357968981578]
38,1758984371.424999,"[0.00015999015073659423, 2.111656439799265e-16, 0.911632421118377]","[3.1243372145748504e-15, 4.4156683344463266e-16, -2.0684433816341068e-15]","[1.0, 1.4673579952237316e-17, 2.3213551716480983e-16, -1.3396611888668603e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.854544391672881e-15, 2.7092256672436445e-16, -52.11898076898158]",0.5,[28.014357968981578]
39,1758984371.4301112,"[0.00015999015073660998, 2.133660021585423e-16, 0.911632421118377]","[3.1476314926182183e-15, 4.400716357231592e-16, -2.0684433816341068e-15]","[1.0, 1.5982114529266595e-17, 2.2792539496289704e-16, -1.3306118666861747e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.6016856298902996e-15, 2.855459817293807e-16, -52.11898076898158]",0.5,[28.014357968981578]
40,1758984371.4352129,"[0.00015999015073662584, 2.155579864757102e-16, 0.911632421118377]","[3.1690516882487806e-15, 4.383968634335779e-16, -2.0684433816341068e-15]","[1.0, 1.7302121786395034e-17, 2.2358205073699365e-16, -1.3215625445045669e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.6552695869414922e-15, 2.9055524951781676e-16, -52.11898076898158]",0.5,[28.014357968981578]
